doc_idx,start,length,uppercase_ratio,punct_density,digit_density,byte_fallback_ratio,mean_word_len,repetition_score
1420,1722421,1171,0.0897,0.0777,0.0222,0.0000,2.68,0.1413
1421,1723592,1510,0.0742,0.0649,0.0026,0.0013,2.29,0.0703
1422,1725102,3678,0.1180,0.0791,0.0280,0.0005,2.47,0.1162
1423,1728780,1671,0.0904,0.0724,0.0443,0.0006,2.64,0.0689
1424,1730451,831,0.0734,0.0602,0.0036,0.0000,2.39,0.0411
1425,1731282,365,0.1260,0.0877,0.0575,0.0027,2.70,0.0442
1426,1731647,1160,0.0621,0.0672,0.0017,0.0000,2.52,0.1080
1427,1732807,1306,0.0559,0.0812,0.0145,0.0000,2.45,0.0890
1428,1734113,1716,0.1154,0.1078,0.0594,0.0052,2.77,0.1699
1429,1735829,197,0.1726,0.1117,0.0508,0.0000,2.86,0.0619
1430,1736026,1107,0.0930,0.0551,0.0108,0.0000,2.44,0.0879
1431,1737133,242,0.3058,0.0785,0.0661,0.0000,2.72,0.0251
1432,1737375,1308,0.0772,0.0596,0.0084,0.0031,2.35,0.0360
1433,1738683,1201,0.0724,0.0883,0.0500,0.0000,2.70,0.1235
1434,1739884,511,0.0607,0.0509,0.0607,0.0000,2.41,0.0394
1435,1740395,473,0.0381,0.0571,0.0254,0.0000,2.29,0.0000
1436,1740868,830,0.0711,0.1133,0.0265,0.0000,2.31,0.0278
1437,1741698,262,0.0878,0.0725,0.0229,0.0000,1.98,0.0154
1438,1741960,2791,0.0967,0.0444,0.0229,0.0000,2.51,0.1062
1439,1744751,826,0.0702,0.0690,0.0000,0.0000,2.33,0.0851
1440,1745577,356,0.0590,0.0843,0.0281,0.0000,3.10,0.0595
1441,1745933,1566,0.0817,0.0639,0.0294,0.0013,2.53,0.0531
1442,1747499,2541,0.0811,0.0445,0.0236,0.0004,2.66,0.1288
1443,1750040,801,0.0337,0.0724,0.0175,0.0512,2.14,0.0526
1444,1750841,1252,0.0487,0.0974,0.0575,0.0000,2.81,0.2474
1445,1752093,1087,0.1435,0.0718,0.0037,0.0018,2.67,0.0175
1446,1753180,411,0.0852,0.0949,0.0195,0.0073,2.48,0.0098
1447,1753591,1912,0.0633,0.0957,0.0188,0.0000,2.09,0.0325
1448,1755503,761,0.0736,0.1091,0.0263,0.0000,2.75,0.0580
1449,1756264,477,0.1048,0.0985,0.0042,0.0042,2.59,0.0338
1450,1756741,1448,0.0939,0.0773,0.0373,0.0000,2.29,0.1017
1451,1758189,443,0.1535,0.0361,0.0090,0.0068,2.75,0.0932
1452,1758632,891,0.0640,0.0999,0.0045,0.0000,1.96,0.0462
1453,1759523,914,0.0974,0.0963,0.0109,0.0000,2.74,0.0483
1454,1760437,186,0.0484,0.1022,0.0000,0.0000,2.30,0.0109
1455,1760623,45798,0.1283,0.0885,0.0034,0.0016,2.21,0.1641
1456,1806421,472,0.0911,0.0636,0.0742,0.0000,2.58,0.0320
1457,1806893,383,0.1018,0.1149,0.1802,0.0052,2.70,0.1132
1458,1807276,235,0.0681,0.0511,0.0128,0.0000,2.47,0.0259
1459,1807511,635,0.1150,0.0520,0.0283,0.0000,2.51,0.1092
1460,1808146,2090,0.1100,0.0713,0.0196,0.0005,2.59,0.0580
1461,1810236,821,0.0743,0.0621,0.0341,0.0000,2.43,0.0819
1462,1811057,304,0.0724,0.1053,0.0987,0.0033,3.10,0.0598
1463,1811361,389,0.1131,0.0900,0.0180,0.0000,2.61,0.0337
1464,1811750,228,0.0395,0.0702,0.0263,0.0000,2.40,0.0222
1465,1811978,1398,0.0708,0.0644,0.0079,0.0000,2.50,0.0853
1466,1813376,1727,0.0539,0.0712,0.0075,0.0000,2.63,0.0621
1467,1815103,150,0.0667,0.0733,0.0533,0.0000,2.50,0.0204
1468,1815253,1533,0.0594,0.0835,0.0333,0.0000,2.41,0.0556
1469,1816786,489,0.0920,0.0675,0.0245,0.0000,2.53,0.0700
1470,1817275,417,0.0600,0.0552,0.0576,0.0000,2.61,0.0894
1471,1817692,589,0.1222,0.0832,0.0221,0.0000,2.35,0.0904
1472,1818281,602,0.0664,0.1096,0.0066,0.0000,2.12,0.0501
1473,1818883,707,0.2801,0.0976,0.0042,0.0113,2.33,0.0156
1474,1819590,1086,0.1087,0.0810,0.0994,0.0000,2.85,0.1265
1475,1820676,292,0.1541,0.0548,0.0342,0.0000,2.65,0.0865
1476,1820968,569,0.0598,0.0861,0.0299,0.0018,2.85,0.0283
1477,1821537,351,0.1396,0.0427,0.0171,0.0000,2.37,0.0690
1478,1821888,1109,0.1145,0.1037,0.0072,0.0000,2.84,0.0832
1479,1822997,1316,0.0995,0.0540,0.0517,0.0000,2.58,0.1241
1480,1824313,751,0.0226,0.0519,0.0000,0.0360,2.09,0.0602
1481,1825064,354,0.0650,0.0706,0.0000,0.0000,2.28,0.0114
1482,1825418,917,0.0731,0.0687,0.0349,0.0044,2.94,0.2155
1483,1826335,395,0.0481,0.0430,0.0177,0.0000,2.71,0.2092
1484,1826730,4701,0.0751,0.0759,0.0819,0.0064,2.90,0.2450
1485,1831431,813,0.0652,0.0677,0.0394,0.0012,3.00,0.0975
1486,1832244,148,0.1216,0.1216,0.0203,0.0000,2.64,0.0000
1487,1832392,218,0.0688,0.0642,0.0183,0.0000,2.18,0.0000
1488,1832610,575,0.0887,0.0522,0.0139,0.0000,2.59,0.0507
1489,1833185,674,0.2522,0.0905,0.0861,0.0000,3.39,0.1550
1490,1833859,532,0.0451,0.0395,0.0000,0.0000,1.96,0.0284
1491,1834391,186,0.0753,0.0914,0.0753,0.0108,2.82,0.0109
1492,1834577,558,0.0305,0.0556,0.0125,0.0000,2.47,0.0703
1493,1835135,605,0.0512,0.0595,0.0264,0.0165,2.47,0.0349
1494,1835740,2287,0.1740,0.0678,0.0122,0.0271,2.72,0.2395
1495,1838027,174,0.1839,0.0402,0.0230,0.0000,2.56,0.0058
1496,1838201,409,0.1809,0.0954,0.0685,0.0073,2.86,0.1281
1497,1838610,1318,0.0713,0.0683,0.0167,0.0000,2.25,0.0510
1498,1839928,734,0.1594,0.0749,0.0136,0.0000,2.86,0.1546
1499,1840662,222,0.2748,0.0405,0.0991,0.0000,3.08,0.0868
1500,1840884,324,0.1605,0.0802,0.0926,0.0309,3.31,0.0903
1501,1841208,124,0.0565,0.0484,0.0323,0.0000,1.77,0.0496
1502,1841332,3247,0.0557,0.0779,0.0271,0.0000,2.52,0.0826
1503,1844579,520,0.1192,0.0885,0.1077,0.0231,3.31,0.0696
1504,1845099,225,0.1156,0.0844,0.0533,0.0400,3.36,0.0090
1505,1845324,869,0.0921,0.1024,0.1438,0.0000,2.31,0.1686
1506,1846193,2130,0.0831,0.0634,0.0174,0.0019,2.42,0.0480
1507,1848323,4138,0.0394,0.0802,0.0031,0.0000,2.50,0.0638
1508,1852461,1488,0.1136,0.0833,0.0195,0.0000,2.28,0.0229
1509,1853949,315,0.1968,0.0698,0.0254,0.0095,3.18,0.0513
1510,1854264,1051,0.1123,0.0894,0.0143,0.0000,2.83,0.1240
1511,1855315,1141,0.0666,0.0491,0.0438,0.0035,2.38,0.0685
1512,1856456,674,0.0415,0.0712,0.0237,0.0000,2.27,0.1043
1513,1857130,226,0.2522,0.0619,0.0088,0.0000,2.66,0.0135
1514,1857356,142,0.0775,0.0704,0.0000,0.0000,2.54,0.1223
1515,1857498,1033,0.0600,0.0774,0.0087,0.0048,2.60,0.1019
1516,1858531,552,0.1721,0.0634,0.0652,0.0000,2.39,0.0510
1517,1859083,394,0.0533,0.0482,0.0000,0.0000,2.64,0.0997
1518,1859477,2149,0.0898,0.0596,0.0121,0.0214,2.26,0.0750
1519,1861626,631,0.0634,0.0824,0.0000,0.0000,2.28,0.0318
1520,1862257,2763,0.1448,0.0912,0.0127,0.0036,2.35,0.0540
1521,1865020,694,0.0879,0.0879,0.0274,0.0000,2.43,0.0232
1522,1865714,177,0.1751,0.0282,0.0282,0.0113,2.95,0.0977
1523,1865891,783,0.1928,0.0651,0.0153,0.0026,2.53,0.0462
1524,1866674,602,0.0698,0.1246,0.0000,0.0000,2.21,0.0467
1525,1867276,732,0.1762,0.0738,0.0847,0.0164,3.06,0.2908
1526,1868008,134,0.0821,0.1119,0.0000,0.0000,2.09,0.0153
1527,1868142,501,0.0918,0.0379,0.0040,0.0060,2.37,0.0382
1528,1868643,666,0.0435,0.0541,0.0676,0.0180,2.28,0.0603
1529,1869309,759,0.0791,0.0764,0.0040,0.0013,2.17,0.0198
1530,1870068,651,0.0369,0.0829,0.0998,0.0000,2.67,0.0694
1531,1870719,1048,0.0382,0.0534,0.0153,0.0000,2.18,0.0612
1532,1871767,180,0.1167,0.0611,0.0500,0.0000,2.65,0.0508
1533,1871947,1520,0.0829,0.0625,0.0487,0.0000,2.59,0.0620
1534,1873467,328,0.1189,0.0579,0.0061,0.0000,2.48,0.0708
1535,1873795,1166,0.0849,0.0686,0.0283,0.0009,2.72,0.1582
1536,1874961,3425,0.0537,0.0540,0.0085,0.0000,2.27,0.1338
1537,1878386,371,0.1698,0.0889,0.0593,0.0000,2.99,0.0734
1538,1878757,796,0.0590,0.0465,0.0176,0.0000,2.46,0.1551
1539,1879553,421,0.0665,0.0855,0.0261,0.0000,2.17,0.0383
1540,1879974,845,0.0698,0.0497,0.0047,0.0000,2.63,0.1698
1541,1880819,2039,0.0544,0.0515,0.0005,0.0000,1.93,0.0408
1542,1882858,1177,0.0714,0.0680,0.0688,0.0153,2.27,0.1193
1543,1884035,137,0.0657,0.0584,0.0292,0.0000,2.01,0.0149
1544,1884172,4870,0.0571,0.0864,0.0388,0.0008,2.10,0.0939
1545,1889042,953,0.0409,0.0588,0.0178,0.0021,2.36,0.0705
1546,1889995,207,0.0821,0.1498,0.0290,0.0048,2.69,0.0882
1547,1890202,435,0.1333,0.0506,0.0644,0.0046,2.67,0.1736
1548,1890637,1463,0.0711,0.0608,0.0663,0.0000,2.64,0.1068
1549,1892100,1102,0.0817,0.0554,0.0299,0.0045,2.39,0.0346
1550,1893202,428,0.1612,0.1168,0.0537,0.0794,2.55,0.0541
1551,1893630,903,0.0720,0.0310,0.0066,0.0033,2.36,0.1611
1552,1894533,781,0.1460,0.0794,0.0154,0.0000,2.86,0.1157
1553,1895314,1649,0.0600,0.0546,0.0030,0.0000,2.68,0.1379
1554,1896963,240,0.1083,0.0667,0.0167,0.0083,2.86,0.0042
1555,1897203,285,0.0491,0.0842,0.0316,0.0070,2.71,0.0567
1556,1897488,958,0.0762,0.0783,0.0198,0.0000,2.65,0.1340
1557,1898446,390,0.0872,0.0949,0.0103,0.0000,2.20,0.0568
1558,1898836,3864,0.0828,0.0782,0.0054,0.0000,2.64,0.2774
1559,1902700,246,0.0732,0.0854,0.0000,0.0000,2.37,0.0494
1560,1902946,280,0.0750,0.0357,0.0000,0.0000,2.64,0.0181
1561,1903226,389,0.0720,0.0617,0.0000,0.0000,2.48,0.0440
1562,1903615,1311,0.1175,0.0671,0.0374,0.0000,2.67,0.1659
1563,1904926,1733,0.0975,0.0658,0.0364,0.0000,2.76,0.1064
1564,1906659,2973,0.0666,0.0797,0.0370,0.0000,2.62,0.0734
1565,1909632,2738,0.0749,0.0595,0.0099,0.0000,2.40,0.1042
1566,1912370,1334,0.0502,0.0832,0.0127,0.0000,2.17,0.0676
1567,1913704,142,0.0493,0.0423,0.0000,0.0000,2.22,0.0360
1568,1913846,422,0.1090,0.1137,0.0308,0.0237,3.06,0.0573
1569,1914268,194,0.1186,0.0464,0.0876,0.0052,2.66,0.0890
1570,1914462,398,0.1106,0.0678,0.0628,0.0075,2.60,0.0506
1571,1914860,92,0.1413,0.0870,0.0435,0.0000,2.49,0.0000
1572,1914952,440,0.1182,0.1136,0.0136,0.0000,3.31,0.2746
1573,1915392,903,0.0587,0.0498,0.0055,0.0078,2.47,0.0778
1574,1916295,616,0.2029,0.0601,0.0195,0.0065,2.57,0.0669
1575,1916911,1829,0.0880,0.0694,0.0213,0.0000,2.24,0.0613
1576,1918740,815,0.1620,0.0699,0.0454,0.0172,3.22,0.0665
1577,1919555,670,0.0567,0.0881,0.0448,0.0030,2.75,0.1364
1578,1920225,354,0.1469,0.0565,0.0169,0.0000,2.57,0.0769
1579,1920579,224,0.1027,0.0982,0.0714,0.0045,2.26,0.0045
1580,1920803,1078,0.0594,0.0955,0.0102,0.0046,2.09,0.0800
1581,1921881,173,0.0462,0.0405,0.0116,0.0000,2.16,0.0176
1582,1922054,1560,0.0397,0.0782,0.0423,0.0269,2.75,0.1073
1583,1923614,485,0.1113,0.0701,0.0433,0.0000,3.03,0.0519
1584,1924099,880,0.0955,0.0307,0.0057,0.0091,2.34,0.0137
1585,1924979,386,0.0440,0.0622,0.0622,0.0000,2.49,0.1384
1586,1925365,1653,0.0702,0.0502,0.0109,0.0030,2.27,0.1036
1587,1927018,240,0.1625,0.0750,0.0583,0.0000,2.82,0.0211
1588,1927258,12937,0.0914,0.0519,0.0438,0.0005,2.72,0.1558
1589,1940195,162,0.1296,0.1543,0.0802,0.0000,3.00,0.0943
1590,1940357,1438,0.0619,0.1140,0.0000,0.0000,2.64,0.2718
1591,1941795,935,0.0342,0.0385,0.0000,0.0000,2.17,0.1749
1592,1942730,117,0.1197,0.0427,0.0598,0.0000,2.29,0.0175
1593,1942847,481,0.0478,0.0665,0.0333,0.0042,2.54,0.0167
1594,1943328,2655,0.0313,0.0512,0.0056,0.0000,2.20,0.1316
1595,1945983,2731,0.0904,0.0593,0.0135,0.0077,2.17,0.0663
1596,1948714,233,0.1202,0.1073,0.0515,0.0043,2.48,0.0261
1597,1948947,9434,0.0903,0.0635,0.0046,0.0010,2.36,0.1069
1598,1958381,889,0.1541,0.0495,0.1012,0.0000,2.97,0.1321
1599,1959270,441,0.0998,0.0930,0.0317,0.0000,2.55,0.0525
1600,1959711,460,0.1457,0.0935,0.0717,0.0043,2.80,0.0722
1601,1960171,525,0.0381,0.0552,0.0076,0.0000,2.16,0.0441
1602,1960696,546,0.0623,0.0751,0.0330,0.0055,2.32,0.0276
1603,1961242,4982,0.1383,0.0672,0.0106,0.0048,2.99,0.2408
1604,1966224,2337,0.0890,0.0578,0.0342,0.0000,2.50,0.1024
1605,1968561,554,0.1336,0.0776,0.1011,0.0036,2.86,0.0726
1606,1969115,1313,0.0663,0.0670,0.0061,0.0122,2.37,0.0641
1607,1970428,686,0.0962,0.0496,0.0102,0.0044,2.20,0.0498
1608,1971114,494,0.0688,0.0688,0.0810,0.0000,2.59,0.0896
1609,1971608,712,0.0492,0.0674,0.0112,0.0028,2.58,0.0324
1610,1972320,4297,0.0491,0.1219,0.0454,0.0007,3.68,0.2888
1611,1976617,1730,0.0705,0.0855,0.0139,0.0000,2.43,0.0695
1612,1978347,2843,0.1143,0.0904,0.0102,0.0007,2.59,0.1018
1613,1981190,522,0.0192,0.0421,0.0096,0.0019,2.10,0.0771
1614,1981712,751,0.1465,0.1212,0.0107,0.0000,2.24,0.0535
1615,1982463,661,0.0908,0.0681,0.0212,0.0000,2.27,0.0426
1616,1983124,581,0.1979,0.0792,0.0792,0.0103,3.04,0.2405
1617,1983705,151,0.0662,0.0530,0.0596,0.0000,2.16,0.0405
1618,1983856,864,0.0868,0.0475,0.0162,0.0000,2.13,0.1057
1619,1984720,1712,0.0584,0.0602,0.0053,0.0000,2.49,0.0650
1620,1986432,892,0.1581,0.0482,0.1771,0.0067,3.33,0.1755
1621,1987324,1423,0.0506,0.0682,0.0000,0.0000,2.41,0.0768
1622,1988747,3154,0.0786,0.0742,0.0314,0.0006,2.84,0.1549
1623,1991901,616,0.0292,0.0860,0.0049,0.0000,2.09,0.0326
1624,1992517,538,0.0911,0.0836,0.0000,0.0037,2.70,0.0336
1625,1993055,203,0.1084,0.0443,0.1084,0.0000,2.54,0.0950
1626,1993258,3003,0.0643,0.0376,0.0186,0.0003,2.43,0.1680
1627,1996261,550,0.0436,0.0418,0.0218,0.0018,2.30,0.0878
1628,1996811,1066,0.1013,0.0582,0.0159,0.0075,2.78,0.0517
1629,1997877,6025,0.0855,0.0446,0.0053,0.0032,2.22,0.1541
1630,2003902,4239,0.1746,0.1026,0.0554,0.0000,2.92,0.3270
1631,2008141,848,0.1533,0.0743,0.0354,0.0024,2.61,0.1373
1632,2008989,541,0.0795,0.0776,0.0111,0.0000,2.89,0.0502
1633,2009530,547,0.1170,0.0676,0.0347,0.0037,2.21,0.0515
1634,2010077,384,0.0885,0.0729,0.0391,0.0026,2.58,0.0341
1635,2010461,752,0.0572,0.0691,0.0120,0.0000,2.42,0.0521
1636,2011213,1216,0.1053,0.0798,0.0724,0.0000,2.65,0.0791
1637,2012429,553,0.1013,0.0434,0.0090,0.0000,2.16,0.0491
1638,2012982,4792,0.0643,0.0626,0.0330,0.0017,2.47,0.1395
1639,2017774,808,0.1052,0.0594,0.0396,0.0000,2.50,0.2087
1640,2018582,716,0.1243,0.0838,0.0307,0.0698,2.46,0.0827
1641,2019298,1828,0.0903,0.0755,0.0377,0.0000,2.39,0.0718
1642,2021126,451,0.0599,0.0776,0.0177,0.0000,2.46,0.0223
1643,2021577,207,0.0725,0.1063,0.0000,0.0000,2.35,0.0049
1644,2021784,1629,0.3211,0.0939,0.0074,0.0006,2.90,0.0369
1645,2023413,6204,0.0982,0.1015,0.0227,0.0192,3.32,0.2277
1646,2029617,202,0.0545,0.0644,0.0000,0.0000,2.04,0.0151
1647,2029819,744,0.0847,0.0806,0.0094,0.0000,2.07,0.0661
1648,2030563,675,0.1289,0.0933,0.0444,0.0000,3.50,0.0759
1649,2031238,1120,0.0625,0.0670,0.0161,0.0000,2.44,0.1012
1650,2032358,612,0.1814,0.0964,0.0359,0.0000,2.83,0.1544
1651,2032970,942,0.1051,0.0531,0.0467,0.0000,2.55,0.0532
1652,2033912,879,0.0887,0.0364,0.0000,0.0000,2.34,0.2511
1653,2034791,591,0.0964,0.0964,0.0220,0.0000,2.13,0.0204
1654,2035382,2686,0.0931,0.0625,0.0696,0.0335,2.47,0.1685
1655,2038068,682,0.1100,0.0645,0.0088,0.0000,2.66,0.0751
1656,2038750,959,0.0949,0.0511,0.0021,0.0000,2.54,0.0921
1657,2039709,922,0.0564,0.0434,0.0065,0.0000,2.31,0.0272
1658,2040631,1145,0.0603,0.0524,0.0210,0.0000,2.71,0.1524
1659,2041776,250,0.2760,0.0760,0.0000,0.0000,3.16,0.0486
1660,2042026,2488,0.1109,0.1338,0.0161,0.0032,6.25,0.2467
1661,2044514,1901,0.0458,0.0673,0.0305,0.0005,2.36,0.0843
1662,2046415,470,0.0596,0.0851,0.0000,0.0170,2.46,0.0707
1663,2046885,274,0.2482,0.0620,0.0182,0.0000,2.71,0.0406
1664,2047159,186,0.1774,0.0645,0.0376,0.0000,2.45,0.1038
1665,2047345,146,0.0685,0.0822,0.0000,0.0000,2.09,0.0000
1666,2047491,593,0.0540,0.0944,0.0337,0.0658,2.43,0.0322
1667,2048084,968,0.1364,0.0496,0.0155,0.0072,2.70,0.0933
1668,2049052,370,0.0432,0.0432,0.0162,0.0081,2.39,0.0136
1669,2049422,28875,0.0822,0.0778,0.0031,0.0007,2.22,0.1623
1670,2078297,255,0.1882,0.0784,0.0941,0.0157,3.27,0.0556
1671,2078552,1915,0.1269,0.0371,0.0324,0.0031,2.72,0.2223
1672,2080467,320,0.1219,0.0312,0.0250,0.0000,2.52,0.1262
1673,2080787,544,0.0331,0.1636,0.1654,0.0184,3.14,0.0739
1674,2081331,339,0.1091,0.0649,0.0206,0.0147,2.42,0.0327
1675,2081670,938,0.0810,0.0842,0.0778,0.0682,3.27,0.1230
1676,2082608,1205,0.1112,0.0838,0.1079,0.0000,3.18,0.1880
1677,2083813,873,0.0332,0.0538,0.0057,0.0000,2.34,0.1000
1678,2084686,158,0.1392,0.0633,0.0633,0.0000,2.55,0.0581
1679,2084844,8182,0.0951,0.0759,0.0728,0.0010,2.97,0.2458
1680,2093026,5075,0.0534,0.0853,0.0339,0.0000,2.24,0.2204
1681,2098101,3218,0.1389,0.0606,0.0177,0.0025,2.65,0.2221
1682,2101319,2158,0.0538,0.0440,0.0079,0.0014,2.58,0.0696
1683,2103477,157,0.0637,0.0446,0.0000,0.0000,2.09,0.0000
1684,2103634,1305,0.1402,0.0414,0.0238,0.0000,2.55,0.1851
1685,2104939,1540,0.0883,0.1149,0.0123,0.0000,2.33,0.0397
1686,2106479,918,0.0817,0.0904,0.0044,0.0022,2.33,0.0393
1687,2107397,283,0.1625,0.0601,0.0389,0.0000,3.63,0.0571
1688,2107680,727,0.1265,0.0509,0.0660,0.0000,2.97,0.2500
1689,2108407,448,0.0536,0.0513,0.0402,0.0045,3.25,0.1303
1690,2108855,985,0.0609,0.0761,0.0000,0.0020,2.22,0.0204
1691,2109840,1026,0.0945,0.0429,0.0039,0.0000,2.21,0.1222
1692,2110866,116,0.0948,0.0690,0.0948,0.0086,2.42,0.0000
1693,2110982,1955,0.1540,0.0629,0.0486,0.0210,3.36,0.1270
1694,2112937,554,0.0523,0.0469,0.0397,0.0000,2.60,0.0454
1695,2113491,1351,0.1192,0.0526,0.0155,0.0133,2.68,0.1091
1696,2114842,155,0.0452,0.0387,0.0000,0.0000,2.18,0.0395
1697,2114997,4753,0.1081,0.0900,0.0276,0.0013,2.29,0.1364
1698,2119750,2220,0.0883,0.0554,0.0383,0.0000,2.65,0.0938
1699,2121970,753,0.0531,0.0784,0.0173,0.0080,2.04,0.0840
1700,2122723,1137,0.0598,0.0598,0.0053,0.0000,2.23,0.0503
1701,2123860,229,0.1266,0.0917,0.0175,0.0000,2.18,0.0310
1702,2124089,210,0.1000,0.0476,0.0190,0.0000,2.62,0.0000
1703,2124299,1150,0.1078,0.0774,0.0191,0.0043,2.39,0.0915
1704,2125449,1589,0.1233,0.0736,0.0025,0.0000,2.52,0.1267
1705,2127038,1321,0.0590,0.0386,0.0000,0.0000,2.52,0.0910
1706,2128359,4887,0.0816,0.0751,0.0018,0.0000,2.19,0.0594
1707,2133246,723,0.1079,0.0512,0.0111,0.0000,2.67,0.0708
1708,2133969,1078,0.0464,0.1150,0.0631,0.0000,2.73,0.1219
1709,2135047,1222,0.0900,0.0696,0.0344,0.0000,2.29,0.0664
1710,2136269,4556,0.0551,0.0617,0.0035,0.0013,2.28,0.1034
1711,2140825,753,0.0664,0.0544,0.0266,0.0000,2.46,0.0880
1712,2141578,733,0.0955,0.0450,0.0327,0.0055,2.54,0.0767
1713,2142311,3945,0.0707,0.0717,0.0190,0.0000,2.46,0.0797
1714,2146256,1792,0.0664,0.0525,0.0000,0.0022,2.54,0.1213
1715,2148048,502,0.1215,0.0498,0.0199,0.0080,2.37,0.1403
1716,2148550,1098,0.0446,0.0419,0.0027,0.0000,2.50,0.0721
1717,2149648,376,0.1037,0.1064,0.0426,0.0080,2.25,0.0188
1718,2150024,744,0.0927,0.0632,0.0081,0.0054,2.70,0.1134
1719,2150768,1097,0.1194,0.0647,0.0100,0.0036,2.66,0.0448
1720,2151865,843,0.0973,0.0546,0.0225,0.0000,2.26,0.0583
1721,2152708,3772,0.0917,0.0814,0.0289,0.0061,2.77,0.1390
1722,2156480,245,0.0816,0.0898,0.0122,0.0204,2.17,0.0000
1723,2156725,725,0.1338,0.1131,0.0676,0.0000,2.59,0.0222
1724,2157450,1689,0.0598,0.0604,0.0053,0.0000,2.51,0.0937
1725,2159139,1781,0.0618,0.0545,0.0460,0.0011,2.24,0.0602
1726,2160920,1034,0.0667,0.0716,0.0077,0.0058,2.43,0.0446
1727,2161954,274,0.0876,0.0401,0.0255,0.0000,2.06,0.0000
1728,2162228,212,0.1698,0.1038,0.1038,0.0000,2.72,0.0574
1729,2162440,276,0.1413,0.0942,0.1232,0.0000,2.65,0.0403
1730,2162716,524,0.0668,0.0611,0.0668,0.0000,2.51,0.0749
1731,2163240,716,0.0698,0.0684,0.0363,0.0168,2.82,0.0295
1732,2163956,1611,0.0695,0.0646,0.0199,0.0012,2.58,0.1287
1733,2165567,592,0.0422,0.0828,0.0541,0.0304,2.68,0.1188
1734,2166159,134,0.0522,0.0299,0.0075,0.0000,2.20,0.0000
1735,2166293,181,0.0829,0.0552,0.0166,0.0000,1.93,0.0056
1736,2166474,862,0.0916,0.0650,0.0023,0.0023,2.22,0.0640
1737,2167336,887,0.0327,0.0575,0.0045,0.0000,2.25,0.0464
1738,2168223,1491,0.0724,0.0664,0.0101,0.0007,2.18,0.1539
1739,2169714,478,0.0586,0.0607,0.0000,0.0063,2.18,0.0042
1740,2170192,1191,0.0369,0.0764,0.0185,0.0000,1.96,0.0362
1741,2171383,542,0.0849,0.0923,0.0627,0.0018,2.19,0.0427
1742,2171925,1902,0.0941,0.0720,0.0284,0.0000,2.64,0.1480
1743,2173827,11277,0.0624,0.0661,0.0041,0.0013,2.05,0.1181
1744,2185104,246,0.0894,0.0691,0.0610,0.0366,3.00,0.0288
1745,2185350,1777,0.1154,0.1035,0.0523,0.0023,2.89,0.1285
1746,2187127,371,0.0323,0.0539,0.0000,0.0000,2.47,0.1495
1747,2187498,258,0.0581,0.0581,0.0233,0.0000,2.46,0.0549
1748,2187756,777,0.0566,0.0669,0.0000,0.0013,2.27,0.0168
1749,2188533,934,0.1156,0.0696,0.0278,0.0021,3.07,0.1450
1750,2189467,2607,0.0725,0.0644,0.0433,0.0004,2.64,0.0998
1751,2192074,1633,0.0821,0.0521,0.0018,0.0092,2.41,0.0847
1752,2193707,714,0.1078,0.0714,0.0182,0.0028,2.70,0.0872
1753,2194421,250,0.1520,0.0840,0.0000,0.0000,2.45,0.0243
1754,2194671,5029,0.0867,0.0515,0.0191,0.0006,2.45,0.1238
1755,2199700,3649,0.0496,0.0534,0.0063,0.0005,2.25,0.0697
1756,2203349,1320,0.0530,0.0621,0.0386,0.0000,2.41,0.0926
1757,2204669,826,0.0956,0.0702,0.0024,0.0000,2.00,0.0377
1758,2205495,4162,0.0815,0.0454,0.0156,0.0050,2.59,0.1803
1759,2209657,606,0.1650,0.0825,0.1089,0.0000,2.73,0.1841
1760,2210263,277,0.0939,0.0686,0.0975,0.0072,2.66,0.0219
1761,2210540,1578,0.0849,0.0545,0.0710,0.0209,2.62,0.1562
1762,2212118,300,0.1167,0.0867,0.0067,0.0000,2.63,0.0909
1763,2212418,633,0.0758,0.0569,0.0174,0.0000,2.27,0.0508
1764,2213051,1975,0.1448,0.0684,0.0481,0.0041,2.89,0.1927
1765,2215026,203,0.1281,0.0591,0.0690,0.0000,2.42,0.0150
1766,2215229,663,0.1071,0.0724,0.0000,0.0000,2.46,0.1045
1767,2215892,559,0.1789,0.0429,0.0107,0.0000,2.94,0.1169
1768,2216451,521,0.0365,0.0422,0.0000,0.0000,2.13,0.0425
1769,2216972,892,0.0729,0.0605,0.0056,0.0000,2.42,0.0877
1770,2217864,1135,0.1630,0.1233,0.0652,0.0097,2.98,0.1201
1771,2218999,347,0.0980,0.0865,0.0000,0.0115,2.87,0.0262
1772,2219346,489,0.0491,0.0900,0.0061,0.0000,2.22,0.0350
1773,2219835,1088,0.1324,0.0515,0.0496,0.0074,2.42,0.1189
1774,2220923,581,0.0912,0.0826,0.0361,0.0034,2.36,0.1055
1775,2221504,185,0.0919,0.0703,0.0432,0.0054,3.25,0.0330
1776,2221689,1347,0.0742,0.1195,0.0252,0.0000,2.36,0.0491
1777,2223036,427,0.0304,0.1335,0.0984,0.0094,4.03,0.0519
1778,2223463,846,0.1194,0.0579,0.0095,0.0000,2.88,0.1400
1779,2224309,1773,0.0496,0.0931,0.0034,0.0000,2.34,0.0972
1780,2226082,398,0.1080,0.0779,0.0528,0.0000,3.06,0.0835
1781,2226480,337,0.0682,0.0534,0.0504,0.0000,2.96,0.0749
1782,2226817,1008,0.0823,0.0774,0.0060,0.0000,2.58,0.0478
